Skapad av WizTree 4.08 2022-12-03 07:26:36 (Du kan dölja detta meddelande genom att göra en donation)
Filnamn,Storlek,Allokerat,Modifierad,Attribut,Filer,Mappar
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 83.sav",1389975,1392640,2022-11-04 18:57:23,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 91.~sav",1389764,1392640,2022-01-09 03:01:23,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 91.sav",1389764,1392640,2022-01-09 03:01:24,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\Rocky Crew.~sav",1389465,1392640,2022-01-09 03:04:01,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\Rocky Crew (2).~sav",1389465,1392640,2022-01-09 03:04:05,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\Rocky Crew (2).sav",1389465,1392640,2022-01-09 03:04:02,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 82.sav",1382884,1384448,2022-11-04 18:51:11,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 89.~sav",1381898,1384448,2022-01-09 02:53:19,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 89.sav",1381898,1384448,2022-01-09 02:53:20,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 90.~sav",1381619,1384448,2022-01-09 02:58:01,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 90.sav",1381619,1384448,2022-01-09 02:58:02,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 88.~sav",1380576,1384448,2022-01-09 02:49:55,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 88.sav",1380576,1384448,2022-01-09 02:49:56,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 81.sav",1374838,1376256,2022-11-04 18:46:31,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 87.~sav",1373969,1376256,2022-01-09 02:46:01,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 87.sav",1373969,1376256,2022-01-09 02:46:02,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 80.sav",1361962,1363968,2022-11-04 18:37:37,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 79.sav",1357761,1359872,2022-11-04 18:31:10,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Transdimensional Antfarm\auto_save\Transdimensional Antfarm Cycle 78.sav",1355160,1355776,2022-11-04 18:26:53,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 86.~sav",1353055,1355776,2022-01-09 02:42:37,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 86.sav",1353055,1355776,2022-01-09 02:42:38,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Starving Spacejunk\auto_save\Starving Spacejunk Cycle 94.sav",1351770,1355776,2022-10-09 16:15:05,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Starving Spacejunk\auto_save\Starving Spacejunk Cycle 88.sav",1348248,1351680,2022-10-09 14:53:23,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 85.~sav",1344532,1347584,2022-01-09 02:39:07,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Rocky Crew\auto_save\Rocky Crew Cycle 85.sav",1344532,1347584,2022-01-09 02:39:07,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Starving Spacejunk\auto_save\Starving Spacejunk Cycle 91.sav",1341845,1343488,2022-10-09 16:01:46,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Starving Spacejunk\auto_save\Starving Spacejunk Cycle 93.sav",1341326,1343488,2022-10-09 16:11:33,32,0,0
"C:\Users\chris\OneDrive\Documents\Klei\OxygenNotIncluded\cloud_save_files\76561198070792349\Starving Spacejunk\auto_save\Starving Spacejunk Cycle 90.sav",1340599,1343488,2022-10-09 15:57:17,32,0,0
